iter	Passed	Remaining
0	111	110940
1	198	99142
2	285	94904
3	378	94339
4	479	95514
5	581	96353
6	684	97124
7	772	95755
8	885	97462
9	981	97214
10	1078	96939
11	1168	96234
12	1252	95111
13	1349	95067
14	1445	94900
15	1535	94405
16	1652	95557
17	1737	94771
18	1821	94059
19	1911	93675
20	2002	93333
21	2101	93429
22	2201	93512
23	2320	94356
24	2414	94174
25	2501	93707
26	2606	93934
27	2707	93990
28	2802	93830
29	2886	93345
30	2983	93258
31	3086	93379
32	3176	93083
33	3260	92640
34	3393	93554
35	3501	93775
36	3612	94022
37	3705	93814
38	3814	93998
39	3903	93695
40	3995	93449
41	4110	93769
42	4210	93718
43	4333	94159
44	4420	93817
45	4501	93358
46	4597	93213
47	4697	93170
48	4791	92998
49	4891	92937
50	4976	92606
51	5065	92356
52	5164	92270
53	5278	92473
54	5377	92402
55	5490	92549
56	5605	92743
57	5726	93012
58	5813	92712
59	5912	92633
60	6015	92598
61	6120	92597
62	6216	92461
63	6305	92215
64	6398	92035
65	6485	91780
66	6581	91648
67	6671	91444
68	6765	91278
69	6866	91219
70	6970	91201
71	7063	91037
72	7154	90852
73	7265	90917
74	7363	90816
75	7452	90612
76	7546	90460
77	7646	90381
78	7743	90281
79	7858	90368
80	7950	90205
81	8052	90146
82	8138	89920
83	8246	89926
84	8344	89822
85	8450	89814
86	8549	89718
87	8654	89695
88	8748	89547
89	8841	89393
90	8947	89376
91	9040	89225
92	9126	89011
93	9217	88836
94	9353	89105
95	9446	88957
96	9537	88791
97	9662	88936
98	9767	88892
99	9858	88724
100	9955	88617
101	10053	88513
102	10154	88431
103	10257	88369
104	10349	88218
105	10446	88105
106	10542	87981
107	10643	87907
108	10729	87703
109	10825	87588
110	10930	87545
111	11025	87414
112	11121	87300
113	11247	87415
114	11368	87490
115	11470	87411
116	11555	87211
117	11652	87094
118	11747	86971
119	11845	86870
120	11942	86753
121	12040	86650
122	12146	86603
123	12243	86491
124	12334	86338
125	12419	86145
126	12534	86164
127	12621	85987
128	12724	85914
129	12829	85861
130	12922	85721
131	13027	85663
132	13128	85579
133	13235	85538
134	13348	85528
135	13457	85494
136	13561	85429
137	13666	85365
138	13772	85311
139	13873	85220
140	13977	85153
141	14085	85107
142	14186	85016
143	14281	84897
144	14441	85156
145	14571	85234
146	14700	85303
147	14832	85384
148	14972	85511
149	15121	85688
150	15247	85727
151	15404	85943
152	15489	85748
153	15587	85627
154	15710	85645
155	15800	85485
156	15894	85344
157	15993	85230
158	16089	85100
159	16183	84964
160	16280	84842
161	16386	84764
162	16474	84595
163	16588	84559
164	16677	84397
165	16777	84292
166	16882	84210
167	16970	84042
168	17066	83918
169	17166	83810
170	17262	83685
171	17361	83578
172	17459	83462
173	17546	83295
174	17641	83164
175	17786	83274
176	17912	83290
177	18011	83177
178	18115	83089
179	18234	83069
180	18344	83006
181	18456	82950
182	18547	82802
183	18640	82665
184	18734	82533
185	18832	82416
186	18915	82237
187	19015	82131
188	19107	81989
189	19198	81846
190	19304	81768
191	19401	81649
192	19498	81529
193	19597	81422
194	19699	81322
195	19791	81184
196	19880	81033
197	19977	80918
198	20088	80857
199	20181	80726
200	20291	80659
201	20389	80546
202	20474	80383
203	20564	80242
204	20677	80188
205	20780	80094
206	20904	80082
207	21023	80052
208	21168	80117
209	21280	80054
210	21425	80116
211	21555	80120
212	21666	80054
213	21784	80011
214	21890	79926
215	22002	79862
216	22117	79806
217	22261	79855
218	22393	79860
219	22505	79791
220	22612	79707
221	22729	79655
222	22832	79555
223	22926	79423
224	23048	79390
225	23144	79265
226	23244	79153
227	23330	78995
228	23428	78878
229	23532	78782
230	23618	78626
231	23715	78505
232	23808	78374
233	23903	78249
234	24006	78149
235	24106	78040
236	24209	77939
237	24307	77823
238	24459	77880
239	24552	77748
240	24645	77618
241	24745	77510
242	24847	77406
243	24957	77326
244	25052	77202
245	25140	77055
246	25245	76962
247	25357	76889
248	25450	76761
249	25547	76641
250	25643	76523
251	25742	76410
252	25850	76326
253	25937	76178
254	26028	76042
255	26123	75922
256	26218	75798
257	26309	75665
258	26399	75530
259	26493	75403
260	26608	75340
261	26700	75211
262	26816	75147
263	26929	75077
264	27027	74962
265	27134	74874
266	27222	74734
267	27323	74629
268	27447	74587
269	27556	74504
270	27665	74420
271	27752	74277
272	27850	74167
273	27934	74017
274	28032	73904
275	28131	73792
276	28228	73680
277	28340	73603
278	28422	73449
279	28552	73420
280	28639	73280
281	28734	73160
282	28849	73090
283	28955	73000
284	29045	72868
285	29138	72744
286	29228	72613
287	29320	72487
288	29432	72408
289	29532	72303
290	29624	72177
291	29717	72053
292	29837	71997
293	29936	71888
294	30034	71778
295	30128	71657
296	30231	71557
297	30321	71427
298	30408	71291
299	30515	71202
300	30617	71101
301	30716	70993
302	30816	70888
303	30925	70802
304	31015	70674
305	31117	70573
306	31220	70474
307	31310	70346
308	31407	70234
309	31509	70133
310	31612	70034
311	31706	69916
312	31820	69841
313	31917	69729
314	32020	69631
315	32109	69501
316	32219	69419
317	32321	69319
318	32418	69207
319	32510	69085
320	32622	69005
321	32713	68882
322	32812	68775
323	32911	68667
324	33000	68540
325	33097	68429
326	33193	68316
327	33290	68204
328	33400	68120
329	33505	68025
330	33626	67963
331	33750	67908
332	33854	67810
333	33967	67732
334	34073	67639
335	34176	67538
336	34288	67457
337	34392	67359
338	34485	67241
339	34586	67139
340	34681	67023
341	34786	66929
342	34890	66830
343	34989	66724
344	35085	66611
345	35175	66487
346	35264	66362
347	35370	66269
348	35468	66159
349	35567	66053
350	35667	65949
351	35767	65843
352	35889	65779
353	36000	65695
354	36111	65610
355	36223	65528
356	36332	65438
357	36442	65352
358	36555	65270
359	36657	65169
360	36755	65060
361	36867	64976
362	37007	64942
363	37132	64880
364	37246	64798
365	37389	64766
366	37522	64718
367	37633	64631
368	37757	64566
369	37863	64471
370	37985	64400
371	38108	64334
372	38217	64242
373	38312	64127
374	38408	64014
375	38510	63911
376	38634	63843
377	38742	63751
378	38844	63647
379	38941	63536
380	39036	63421
381	39141	63323
382	39244	63221
383	39347	63119
384	39437	62997
385	39547	62907
386	39652	62808
387	39743	62687
388	39839	62575
389	39936	62464
390	40031	62350
391	40137	62253
392	40225	62129
393	40330	62031
394	40428	61922
395	40515	61796
396	40596	61662
397	40692	61549
398	40786	61434
399	40892	61338
400	40989	61229
401	41092	61128
402	41209	61047
403	41304	60933
404	41393	60813
405	41491	60703
406	41599	60610
407	41715	60528
408	41821	60431
409	41927	60335
410	42030	60233
411	42116	60108
412	42231	60024
413	42342	59933
414	42435	59818
415	42534	59711
416	42650	59629
417	42738	59506
418	42836	59398
419	42936	59292
420	43044	59199
421	43129	59073
422	43229	58967
423	43329	58862
424	43417	58740
425	43509	58625
426	43621	58536
427	43705	58409
428	43802	58301
429	43926	58228
430	44032	58130
431	44126	58017
432	44249	57943
433	44348	57836
434	44459	57745
435	44578	57665
436	44674	57555
437	44760	57432
438	44845	57308
439	44962	57225
440	45069	57128
441	45153	57004
442	45237	56878
443	45324	56758
444	45433	56664
445	45530	56556
446	45632	56453
447	45791	56422
448	45900	56328
449	45991	56211
450	46083	56096
451	46177	55984
452	46276	55879
453	46372	55770
454	46463	55653
455	46565	55552
456	46656	55436
457	46756	55332
458	46865	55238
459	46952	55118
460	47047	55007
461	47143	54898
462	47237	54787
463	47345	54691
464	47436	54577
465	47531	54467
466	47634	54366
467	47739	54267
468	47825	54147
469	47926	54044
470	48011	53924
471	48112	53820
472	48199	53701
473	48294	53592
474	48390	53483
475	48490	53380
476	48580	53264
477	48672	53153
478	48769	53045
479	48867	52939
480	48967	52835
481	49076	52742
482	49184	52646
483	49293	52552
484	49383	52438
485	49487	52338
486	49597	52244
487	49708	52153
488	49809	52050
489	49900	51937
490	50007	51840
491	50137	51768
492	50237	51664
493	50343	51566
494	50478	51498
495	50587	51402
496	50686	51298
497	50795	51203
498	50909	51113
499	51020	51020
500	51120	50916
501	51219	50811
502	51306	50694
503	51407	50591
504	51498	50479
505	51585	50361
506	51668	50242
507	51762	50131
508	51860	50026
509	51954	49917
510	52042	49802
511	52138	49694
512	52240	49592
513	52342	49491
514	52445	49390
515	52538	49280
516	52628	49167
517	52721	49057
518	52813	48946
519	52906	48836
520	53014	48740
521	53099	48623
522	53188	48510
523	53287	48406
524	53379	48295
525	53484	48196
526	53583	48092
527	53674	47981
528	53768	47873
529	53859	47762
530	53945	47647
531	54037	47537
532	54128	47426
533	54219	47314
534	54308	47202
535	54405	47096
536	54489	46980
537	54580	46869
538	54681	46768
